LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,School_Framework,Framework_Weight,Framework_Points_Earned,Framework_Points_Possible,Framework_STAR_Score,Framework_STAR_Rating,ObjectId
1,District of Columbia Public Schools,322,Smothers Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,24.21,95,25.48,2,1
107,Bridges PCS,142,Bridges PCS,Charter,5,Elementary School with Pre-Kindergarten,100,30.05,100,30.05,2,2
135,Meridian PCS,165,Meridian PCS,Charter,1,Middle School,37.83,65.23,100,65.23,4,3
1,District of Columbia Public Schools,175,School-Within-School @ Goding,DCPS,6,Elementary School with Pre-Kindergarten,100,79.7,90,88.55,5,4
1,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,57.56,27.11,100,27.11,2,5
108,Capital City PCS,1207,Capital City PCS - High School,Charter,4,High School,100,61.74,100,61.74,4,6
138,Paul PCS,170,Paul PCS - Middle School,Charter,4,Middle School,100,31.32,100,31.32,2,7
1,District of Columbia Public Schools,202,Aiton Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,41.66,95,43.85,3,8
1,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,Middle School,42.44,35.05,100,35.05,2,9
108,Capital City PCS,182,Capital City PCS - Middle School,Charter,4,Middle School,100,53.85,100,53.85,3,10
138,Paul PCS,222,Paul PCS - International High School,Charter,4,High School,100,49.23,100,49.23,3,11
1,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,34.7,95,36.53,2,12
1,District of Columbia Public Schools,325,Thomas Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,18.95,95,19.94,1,13
108,Capital City PCS,184,Capital City PCS - Lower School,Charter,4,Elementary School with Pre-Kindergarten,100,52.32,100,52.32,3,14
140,Roots PCS,173,Roots PCS,Charter,4,Elementary School with Pre-Kindergarten,100,22.74,80,28.42,2,15
1,District of Columbia Public Schools,204,Bancroft Elementary School @ Sharpe,DCPS,1,Elementary School with Pre-Kindergarten,100,76.34,100,76.34,4,16
1,District of Columbia Public Schools,326,Thomson Elementary School,DCPS,2,Elementary School with Pre-Kindergarten,100,43.67,100,43.67,3,17
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,Charter,7,Middle School,100,33.85,95,35.63,2,18
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,High School,25.91,47.97,85,56.44,3,19
1,District of Columbia Public Schools,205,Barnard Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,66.46,100,66.46,4,20
1,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,56.57,58.29,100,58.29,3,21
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,Charter,7,High School,100,45.29,95,47.68,3,22
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,Middle School,74.09,30.28,95,31.87,2,23
1,District of Columbia Public Schools,206,Beers Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,33.56,95,35.32,2,24
1,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,Middle School,43.43,55.05,100,55.05,3,25
109,Cesar Chavez PCS for Public Policy,127,Cesar Chavez PCS for Public Policy - Chavez Prep,Charter,1,Middle School,100,40.21,100,40.21,3,26
144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS,Charter,5,Elementary School with Pre-Kindergarten,100,49.75,100,49.75,3,27
1,District of Columbia Public Schools,212,Brent Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,62.36,95,65.64,4,28
1,District of Columbia Public Schools,328,Tubman Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,63.62,100,63.62,4,29
109,Cesar Chavez PCS for Public Policy,153,Cesar Chavez PCS for Public Policy - Capitol Hill,Charter,6,High School,100,34.49,95,36.31,2,30
146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,Charter,8,High School,100,55.19,85,64.93,4,31
1,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,61.83,61.8,100,61.8,4,32
1,District of Columbia Public Schools,329,Turner Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,43.06,95,45.33,3,33
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,Elementary School with Pre-Kindergarten,51.67,62.45,95,65.74,4,34
114,DC Bilingual PCS,199,DC Bilingual PCS,Charter,5,Elementary School with Pre-Kindergarten,100,64.96,100,64.96,4,35
1,District of Columbia Public Schools,330,Tyler Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,44.72,95,47.07,3,36
115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,Charter,7,Elementary School with Pre-Kindergarten,100,54.33,85,63.92,4,37
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,Middle School,48.33,65.59,95,69.04,4,38
1,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,Middle School,38.17,56.75,100,56.75,3,39
1,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,Elementary School with Pre-Kindergarten,62.53,47.58,95,50.08,3,40
149,Two Rivers PCS,270,Two Rivers PCS - Young,Charter,5,Elementary School with Pre-Kindergarten,100,40.32,90,44.8,3,41
115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,Charter,5,Elementary School with Pre-Kindergarten,100,65.07,95,68.5,4,42
1,District of Columbia Public Schools,219,Bunker Hill Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,41.81,85,49.18,3,43
1,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,Middle School,37.47,49.71,95,52.32,3,44
151,Washington Latin PCS,1118,Washington Latin PCS - Upper School,Charter,4,High School,100,86.35,95,90.89,5,45
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,Elementary School without Pre-Kindergarten,45.42,47.48,95,49.98,3,46
1,District of Columbia Public Schools,220,Burroughs Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,55.73,95,58.66,3,47
1,District of Columbia Public Schools,333,Watkins Elementary School (Capitol Hill Cluster),DCPS,6,Elementary School without Pre-Kindergarten,100,70.24,95,73.94,4,48
151,Washington Latin PCS,125,Washington Latin PCS - Middle School,Charter,4,Middle School,100,74.54,100,74.54,4,49
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,Middle School,54.58,79.78,95,83.98,5,50
1,District of Columbia Public Schools,221,Burrville Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,30.13,95,31.72,2,51
1,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,Elementary School with Pre-Kindergarten,57.23,26.15,95,27.53,2,52
152,Washington Mathematics Science Technology PCHS,178,Washington Mathematics Science Technology PCHS,Charter,5,High School,100,32.19,95,33.89,2,53
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,Elementary School without Pre-Kindergarten,46.05,40.66,95,42.8,3,54
1,District of Columbia Public Schools,224,Cleveland Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,47.37,100,47.37,3,55
1,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,Middle School,42.77,58.66,95,61.75,4,56
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,Elementary School with Pre-Kindergarten,62.03,29.74,85,34.99,2,57
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,Middle School,53.95,80.63,95,84.87,5,58
1,District of Columbia Public Schools,227,H.D. Cooke Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,71.4,100,71.4,4,59
1,District of Columbia Public Schools,336,West Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,62.65,50.82,90,56.46,3,60
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,Middle School,37.97,31.03,95,32.67,2,61
116,E.L. Haynes PCS,1138,E.L. Haynes PCS - High School,Charter,4,High School,100,55.47,100,55.47,3,62
116,E.L. Haynes PCS,1206,E.L. Haynes PCS - Elementary School,Charter,4,Elementary School with Pre-Kindergarten,100,68.38,100,68.38,4,63
116,E.L. Haynes PCS,146,E.L. Haynes PCS - Middle School,Charter,1,Middle School,100,48.87,100,48.87,3,64
